web-scraper-order,web-scraper-start-url,product_links,product_links-href,year/model,brand,miles,price,link,link-href
1656613566-37,https://www.carmax.com/cars/diesel?year=2018-2022,2022 Ram3500 Tradesman,https://www.carmax.com/car/22896488,2022 3500 Tradesman,Ram,2K miles,"$76,998*",See More Matches,
1656613542-33,https://www.carmax.com/cars/diesel?year=2018-2022,2020 GMCSierra 1500 Elevation,https://www.carmax.com/car/22532331,2020 Sierra 1500 Elevation,GMC,39K miles,"$50,998*",See More Matches,
1656613532-32,https://www.carmax.com/cars/diesel?year=2018-2022,2020 ChevroletSilverado 1500 LT,https://www.carmax.com/car/22412259,2020 Silverado 1500 LT,Chevrolet,18K miles,"$46,998*",See More Matches,
1656613588-41,https://www.carmax.com/cars/diesel?year=2018-2022,2019 FordF250 Lariat,https://www.carmax.com/car/22573643,2019 F250 Lariat,Ford,58K miles,"$64,998*",See More Matches,
1656613511-28,https://www.carmax.com/cars/diesel?year=2018-2022,2018 Ram2500 SLT,https://www.carmax.com/car/22790482,2018 2500 SLT,Ram,36K miles,"$54,998*",See More Matches,
1656613498-26,https://www.carmax.com/cars/diesel?year=2018-2022,2022 Ram3500 Tradesman,https://www.carmax.com/car/22775161,2022 3500 Tradesman,Ram,8K miles,"$72,998*",See More Matches,
1656613483-23,https://www.carmax.com/cars/diesel?year=2018-2022,2022 Ram3500 Lonestar,https://www.carmax.com/car/22820519,2022 3500 Lonestar,Ram,18K miles,"$74,998*",See More Matches,
1656613614-44,https://www.carmax.com/cars/diesel?year=2018-2022,2021 Ram3500 Tradesman,https://www.carmax.com/car/22694223,2021 3500 Tradesman,Ram,57K miles,"$66,998*",See More Matches,
1656613523-30,https://www.carmax.com/cars/diesel?year=2018-2022,2018 GMCTerrain SLT,https://www.carmax.com/car/22538189,2018 Terrain SLT,GMC,68K miles,"$26,998*",See More Matches,
1656613545-34,https://www.carmax.com/cars/diesel?year=2018-2022,2021 Ram3500 Limited,https://www.carmax.com/car/22774137,2021 3500 Limited,Ram,29K miles,"$87,998*",See More Matches,
1656613557-36,https://www.carmax.com/cars/diesel?year=2018-2022,2020 Ram1500 Laramie,https://www.carmax.com/car/22682610,2020 1500 Laramie,Ram,14K miles,"$52,998*",See More Matches,
1656613487-24,https://www.carmax.com/cars/diesel?year=2018-2022,2021 ChevroletSilverado 2500 LTZ,https://www.carmax.com/car/22852679,2021 Silverado 2500 LTZ,Chevrolet,22K miles,"$72,998*",See More Matches,
1656613605-43,https://www.carmax.com/cars/diesel?year=2018-2022,2019 FordF250 XL,https://www.carmax.com/car/22614855,2019 F250 XL,Ford,91K miles,"$43,998*",See More Matches,
1656613577-39,https://www.carmax.com/cars/diesel?year=2018-2022,2021 FordF250 XL,https://www.carmax.com/car/22790433,2021 F250 XL,Ford,10K miles,"$68,998*",See More Matches,
1656613529-31,https://www.carmax.com/cars/diesel?year=2018-2022,2020 Ram1500 Limited,https://www.carmax.com/car/22824178,2020 1500 Limited,Ram,33K miles,"$64,998*",See More Matches,
1656613517-29,https://www.carmax.com/cars/diesel?year=2018-2022,2018 ChevroletColorado Z71,https://www.carmax.com/car/22692808,2018 Colorado Z71,Chevrolet,44K miles,"$35,998*",See More Matches,
1656613494-25,https://www.carmax.com/cars/diesel?year=2018-2022,2019 FordF250 XLT,https://www.carmax.com/car/22852656,2019 F250 XLT,Ford,58K miles,"$55,998*",See More Matches,
1656613581-40,https://www.carmax.com/cars/diesel?year=2018-2022,2021 Ram3500 Tradesman,https://www.carmax.com/car/22279243,2021 3500 Tradesman,Ram,2K miles,"$69,998*",See More Matches,
1656613549-35,https://www.carmax.com/cars/diesel?year=2018-2022,2020 GMCTerrain SLT,https://www.carmax.com/car/22155546,2020 Terrain SLT,GMC,19K miles,"$34,998*",See More Matches,
1656613594-42,https://www.carmax.com/cars/diesel?year=2018-2022,2021 FordF250 XLT,https://www.carmax.com/car/22823289,2021 F250 XLT,Ford,23K miles,"$68,998*",See More Matches,
1656613502-27,https://www.carmax.com/cars/diesel?year=2018-2022,2018 NissanTitan XD PRO-4X,https://www.carmax.com/car/20930576,2018 Titan XD PRO-4X,Nissan,49K miles,"$40,998*",See More Matches,
1656613573-38,https://www.carmax.com/cars/diesel?year=2018-2022,2022 Ram2500 Tradesman,https://www.carmax.com/car/23006422,2022 2500 Tradesman,Ram,5K miles,"$65,998*",See More Matches,
