web-scraper-order,web-scraper-start-url,product_link,product_link-href,year/ Model,brand,miles,price,pages,pages-href
"1656611880-22","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel Y Standard Range","https://www.carmax.com/car/22908806","2021 Model Y Standard Range","Tesla","19K miles","$66,998*","null","null"
"1656611860-18","https://www.carmax.com/cars/electric?year=2018-2022","2022 TeslaModel 3 Long Range","https://www.carmax.com/car/21947860","2022 Model 3 Long Range","Tesla","5K miles","$64,998*","null","null"
"1656611757-2","https://www.carmax.com/cars/electric?year=2018-2022","2022 TeslaModel 3 Long Range","https://www.carmax.com/car/22508336","2022 Model 3 Long Range","Tesla","2K miles","$65,998*","null","null"
"1656611773-5","https://www.carmax.com/cars/electric?year=2018-2022","2019 TeslaModel 3 Standard Range Plus","https://www.carmax.com/car/22704470","2019 Model 3 Standard Range Plus","Tesla","43K miles","$45,998*","null","null"
"1656611853-17","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel S Plaid","https://www.carmax.com/car/22854061","2021 Model S Plaid","Tesla","8K miles","$133,998*","null","null"
"1656611813-12","https://www.carmax.com/cars/electric?year=2018-2022","2020 TeslaModel S PERFORMANCE","https://www.carmax.com/car/21411197","2020 Model S PERFORMANCE","Tesla","6K miles","$94,998*","null","null"
"1656611822-13","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel 3 Standard Range Plus","https://www.carmax.com/car/22513416","2021 Model 3 Standard Range Plus","Tesla","15K miles","$53,998*","null","null"
"1656611847-16","https://www.carmax.com/cars/electric?year=2018-2022","2019 TeslaModel 3 PERFORMANCE","https://www.carmax.com/car/22408074","2019 Model 3 PERFORMANCE","Tesla","30K miles","$56,998*","null","null"
"1656611877-21","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel Y Long Range","https://www.carmax.com/car/22909267","2021 Model Y Long Range","Tesla","5K miles","$73,998*","null","null"
"1656611799-10","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel S Long Range","https://www.carmax.com/car/22640353","2021 Model S Long Range","Tesla","11K miles","$97,998*","null","null"
"1656611770-4","https://www.carmax.com/cars/electric?year=2018-2022","2022 KiaEV6 Wind","https://www.carmax.com/car/22755712","2022 EV6 Wind","Kia","2K miles","$61,998*","null","null"
"1656611754-1","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel Y Long Range","https://www.carmax.com/car/22124727","2021 Model Y Long Range","Tesla","13K miles","$70,998*","null","null"
"1656611764-3","https://www.carmax.com/cars/electric?year=2018-2022","2020 TeslaModel Y PERFORMANCE","https://www.carmax.com/car/22936792","2020 Model Y PERFORMANCE","Tesla","16K miles","$72,998*","null","null"
"1656611868-19","https://www.carmax.com/cars/electric?year=2018-2022","2018 TeslaModel 3 PERFORMANCE","https://www.carmax.com/car/22573980","2018 Model 3 PERFORMANCE","Tesla","29K miles","$56,998*","null","null"
"1656611782-7","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel S Plaid","https://www.carmax.com/car/22207931","2021 Model S Plaid","Tesla","6K miles","$134,998*","null","null"
"1656611803-11","https://www.carmax.com/cars/electric?year=2018-2022","2022 TeslaModel 3 Long Range","https://www.carmax.com/car/22232861","2022 Model 3 Long Range","Tesla","3K miles","$64,998*","null","null"
"1656611873-20","https://www.carmax.com/cars/electric?year=2018-2022","2020 TeslaModel Y PERFORMANCE","https://www.carmax.com/car/22969099","2020 Model Y PERFORMANCE","Tesla","43K miles","$68,998*","null","null"
"1656611777-6","https://www.carmax.com/cars/electric?year=2018-2022","2018 TeslaModel S P100D","https://www.carmax.com/car/22134636","2018 Model S P100D","Tesla","42K miles","$76,998*","null","null"
"1656611795-9","https://www.carmax.com/cars/electric?year=2018-2022","2022 TeslaModel Y Long Range","https://www.carmax.com/car/22088127","2022 Model Y Long Range","Tesla","4K miles","$77,998*","null","null"
"1656611832-14","https://www.carmax.com/cars/electric?year=2018-2022","2021 TeslaModel Y Long Range","https://www.carmax.com/car/22625863","2021 Model Y Long Range","Tesla","15K miles","$75,998*","null","null"
"1656611840-15","https://www.carmax.com/cars/electric?year=2018-2022","2021 FordMustang Mach-E SELECT","https://www.carmax.com/car/22713523","2021 Mustang Mach-E SELECT","Ford","6K miles","$58,998*","null","null"
"1656611788-8","https://www.carmax.com/cars/electric?year=2018-2022","2022 NissanLeaf S Plus","https://www.carmax.com/car/22512854","2022 Leaf S Plus","Nissan","5K miles","$37,998*","null","null"
