web-scraper-order,web-scraper-start-url,product_links,product_links-href,year/model,price,miles,mileage,brand,pages,pages-href
"1656611059-74","https://www.carmax.com/cars/hybrid?year=2018-2022","2019 ToyotaRAV4 Hybrid LE","https://www.carmax.com/car/22840543","2019 RAV4 Hybrid LE","$33,998*","36K miles","41/38 mpg","Toyota","null","null"
"1656611109-81","https://www.carmax.com/cars/hybrid?year=2018-2022","2021 Land RoverRange Rover Sport HST","https://www.carmax.com/car/22823348","2021 Range Rover Sport HST","$100,998*","6K miles","null","Land Rover","null","null"
"1656611083-78","https://www.carmax.com/cars/hybrid?year=2018-2022","2018 LexusES 300h","https://www.carmax.com/car/22414972","2018 ES 300h","$33,998*","53K miles","40/39 mpg","Lexus","null","null"
"1656611035-70","https://www.carmax.com/cars/hybrid?year=2018-2022","2022 ToyotaSienna Hybrid XLE","https://www.carmax.com/car/22984263","2022 Sienna Hybrid XLE","$56,998*","6K miles","null","Toyota","null","null"
"1656611067-76","https://www.carmax.com/cars/hybrid?year=2018-2022","2021 Ram1500 Lonestar","https://www.carmax.com/car/22773284","2021 1500 Lonestar","$40,998*","19K miles","null","Ram","null","null"
"1656611021-68","https://www.carmax.com/cars/hybrid?year=2018-2022","2020 Ram1500 Lonestar","https://www.carmax.com/car/22969158","2020 1500 Lonestar","$43,998*","40K miles","20/25 mpg","Ram","null","null"
"1656611077-77","https://www.carmax.com/cars/hybrid?year=2018-2022","2020 LexusUX 250h","https://www.carmax.com/car/22789481","2020 UX 250h","$42,998*","16K miles","null","Lexus","null","null"
"1656611011-66","https://www.carmax.com/cars/hybrid?year=2018-2022","2022 Land RoverDefender 110 X-Dynamic SE","https://www.carmax.com/car/22574466","2022 Defender 110 X-Dynamic SE","$104,998*","5K miles","null","Land Rover","null","null"
"1656611099-80","https://www.carmax.com/cars/hybrid?year=2018-2022","2021 AudiQ5 Premium Plus","https://www.carmax.com/car/22693806","2021 Q5 Premium Plus","$50,998*","6K miles","null","Audi","null","null"
"1656611008-65","https://www.carmax.com/cars/hybrid?year=2018-2022","2022 HondaCR-V Hybrid EX","https://www.carmax.com/car/22533572","2022 CR-V Hybrid EX","$42,998*","4K miles","null","Honda","null","null"
"1656610999-64","https://www.carmax.com/cars/hybrid?year=2018-2022","2018 FordFusion Hybrid Titanium","https://www.carmax.com/car/22969748","2018 Fusion Hybrid Titanium","$24,998*","49K miles","43/41 mpg","Ford","null","null"
"1656610989-63","https://www.carmax.com/cars/hybrid?year=2018-2022","2020 JeepWrangler Recon","https://www.carmax.com/car/21799684","2020 Wrangler Recon","$44,998*","9K miles","17/25 mpg","Jeep","null","null"
"1656611116-82","https://www.carmax.com/cars/hybrid?year=2018-2022","2019 Ram1500 Bighorn","https://www.carmax.com/car/22532313","2019 1500 Bighorn","$37,998*","54K miles","19/24 mpg","Ram","null","null"
"1656611121-83","https://www.carmax.com/cars/hybrid?year=2018-2022","2019 ToyotaRAV4 Hybrid Limited","https://www.carmax.com/car/22821650","2019 RAV4 Hybrid Limited","$39,998*","49K miles","41/38 mpg","Toyota","null","null"
"1656611125-84","https://www.carmax.com/cars/hybrid?year=2018-2022","2020 Land RoverDefender HSE","https://www.carmax.com/car/22044814","2020 Defender HSE","$82,998*","29K miles","17/22 mpg","Land Rover","null","null"
"1656611043-71","https://www.carmax.com/cars/hybrid?year=2018-2022","2022 JeepWagoneer Series III","https://www.carmax.com/car/22574499","2022 Wagoneer Series III","$83,998*","4K miles","null","Jeep","null","null"
"1656611051-72","https://www.carmax.com/cars/hybrid?year=2018-2022","2018 LincolnMKZ Hybrid SELECT","https://www.carmax.com/car/22970351","2018 MKZ Hybrid SELECT","$28,998*","47K miles","41/38 mpg","Lincoln","null","null"
"1656611027-69","https://www.carmax.com/cars/hybrid?year=2018-2022","2020 ToyotaCamry Hybrid SE","https://www.carmax.com/car/22537971","2020 Camry Hybrid SE","$28,998*","88K miles","44/47 mpg","Toyota","null","null"
"1656611054-73","https://www.carmax.com/cars/hybrid?year=2018-2022","2021 Land RoverDefender 110 SE","https://www.carmax.com/car/22773828","2021 Defender 110 SE","$86,998*","8K miles","null","Land Rover","null","null"
"1656611016-67","https://www.carmax.com/cars/hybrid?year=2018-2022","2020 Ram1500 Lonestar","https://www.carmax.com/car/22694503","2020 1500 Lonestar","$38,998*","32K miles","20/25 mpg","Ram","null","null"
"1656611087-79","https://www.carmax.com/cars/hybrid?year=2018-2022","2022 HondaAccord Hybrid EX-L","https://www.carmax.com/car/22896934","2022 Accord Hybrid EX-L","$39,998*","23K miles","null","Honda","null","null"
"1656611062-75","https://www.carmax.com/cars/hybrid?year=2018-2022","2019 Ram1500 Bighorn","https://www.carmax.com/car/22824938","2019 1500 Bighorn","$42,998*","23K miles","19/24 mpg","Ram","null","null"
