web-scraper-order,web-scraper-start-url,product_links,product_links-href,year/model,brand,price,miles
"1656614404-73","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22550033","2019 530e Plug-in Hybrid iPerformance","BMW","$36,998*","42K miles"
"1656614520-86","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2018 BMW530e Plug-in Hybrid xDrive iPerformance","https://www.carmax.com/car/22760727","2018 530e Plug-in Hybrid xDrive iPerformance","BMW","$35,998*","49K miles"
"1656614488-83","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 Mercedes-BenzGLC350E Plug In Hybrid","https://www.carmax.com/car/22795556","2019 GLC350E Plug In Hybrid","Mercedes-Benz","$44,998*","22K miles"
"1656614526-87","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22796977","2019 530e Plug-in Hybrid iPerformance","BMW","$41,998*","20K miles"
"1656614343-67","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2020 ChryslerPacifica Hybrid Touring L","https://www.carmax.com/car/22926796","2020 Pacifica Hybrid Touring L","Chrysler","$49,998*","13K miles"
"1656614497-84","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2021 JeepWrangler 4XE PHEV Unlimited Sahara","https://www.carmax.com/car/22096997","2021 Wrangler 4XE PHEV Unlimited Sahara","Jeep","$59,998*","3K miles"
"1656614482-82","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 VolvoXC60 Plug-in Hybrid T8 R-DESIGN","https://www.carmax.com/car/22640680","2019 XC60 Plug-in Hybrid T8 R-DESIGN","Volvo","$51,998*","34K miles"
"1656614367-70","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22920734","2019 530e Plug-in Hybrid iPerformance","BMW","$38,998*","31K miles"
"1656614463-80","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2022 JeepWrangler 4XE PHEV Unlimited Rubicon","https://www.carmax.com/car/22704086","2022 Wrangler 4XE PHEV Unlimited Rubicon","Jeep","$64,998*","1K miles"
"1656614355-68","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22920386","2019 530e Plug-in Hybrid iPerformance","BMW","$34,998*","52K miles"
"1656614362-69","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22920385","2019 530e Plug-in Hybrid iPerformance","BMW","$41,998*","18K miles"
"1656614468-81","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2020 ToyotaPrius Prime Hybrid Limited","https://www.carmax.com/car/22093287","2020 Prius Prime Hybrid Limited","Toyota","$34,998*","33K miles"
"1656614456-79","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2021 JeepWrangler 4XE PHEV Unlimited Rubicon","https://www.carmax.com/car/22200599","2021 Wrangler 4XE PHEV Unlimited Rubicon","Jeep","$58,998*","23K miles"
"1656614416-75","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2021 AudiQ5 Plug-in Hybrid Premium Plus","https://www.carmax.com/car/22647302","2021 Q5 Plug-in Hybrid Premium Plus","Audi","$58,998*","10K miles"
"1656614390-72","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2018 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22814221","2018 530e Plug-in Hybrid iPerformance","BMW","$34,998*","51K miles"
"1656614529-88","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 Mercedes-BenzGLC350E Plug In Hybrid","https://www.carmax.com/car/22745353","2019 GLC350E Plug In Hybrid","Mercedes-Benz","$39,998*","40K miles"
"1656614408-74","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2022 JeepWrangler 4XE PHEV Unlimited Sahara","https://www.carmax.com/car/22510213","2022 Wrangler 4XE PHEV Unlimited Sahara","Jeep","$58,998*","2K miles"
"1656614377-71","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2018 BMW530e Plug-in Hybrid xDrive iPerformance","https://www.carmax.com/car/22755389","2018 530e Plug-in Hybrid xDrive iPerformance","BMW","$35,998*","50K miles"
"1656614436-77","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2021 BMW330 Plug In Hybrid","https://www.carmax.com/car/22738372","2021 330 Plug In Hybrid","BMW","$48,998*","8K miles"
"1656614431-76","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2018 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22948638","2018 530e Plug-in Hybrid iPerformance","BMW","$40,998*","31K miles"
"1656614442-78","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2022 HyundaiIoniq 5 SE","https://www.carmax.com/car/22936036","2022 Ioniq 5 SE","Hyundai","$52,998*","5K miles"
"1656614510-85","https://www.carmax.com/cars/plug-in-hybrid?year=2018-2022","2019 BMW530e Plug-in Hybrid iPerformance","https://www.carmax.com/car/22815127","2019 530e Plug-in Hybrid iPerformance","BMW","$37,998*","49K miles"
