web-scraper-order,web-scraper-start-url,product_links,product_links-href,year/make/model,price,sedan,MPG,pages,pages-href
"1656619394-438","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA5NA005422/2022-toyota-mirai/","2022 Toyota Mirai","$52,655","Sedan","76 cty / 71 hwy","",""
"1656619322-422","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A69NU025601/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619401-440","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A61NU026323/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619319-421","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA9NA005942/2022-toyota-mirai/","2022 Toyota Mirai","$68,570","Sedan","67 cty / 64 hwy","",""
"1656619418-445","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A67NU025578/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619295-414","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A60NU026328/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619316-420","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA6NA006045/2022-toyota-mirai/","2022 Toyota Mirai","$52,599","Sedan","76 cty / 71 hwy","",""
"1656619432-449","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A62NU026344/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,180","SUV","59 cty / 54 hwy","",""
"1656619313-419","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA4NA006061/2022-toyota-mirai/","2022 Toyota Mirai","$72,859","Sedan","67 cty / 64 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619274-407","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A60NU026343/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,180","SUV","59 cty / 54 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619407-442","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA5NA005985/2022-toyota-mirai/","2022 Toyota Mirai","$72,915","Sedan","67 cty / 64 hwy","",""
"1656619306-417","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A65NU026325/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619286-411","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A6XNU026353/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619289-412","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A65NU026340/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,180","SUV","59 cty / 54 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619384-435","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A63NU026372/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619367-432","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A67NU026341/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,130","SUV","59 cty / 54 hwy","",""
"1656619372-433","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A69NU026358/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619345-428","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A64NU025535/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,130","SUV","59 cty / 54 hwy","",""
"1656619354-430","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A69NU025529/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,130","SUV","59 cty / 54 hwy","",""
"1656619415-444","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA4NA004519/2022-toyota-mirai/","2022 Toyota Mirai","$72,490","Sedan","67 cty / 64 hwy","",""
"1656619350-429","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A64NU026347/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619300-415","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A67NU026324/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,180","SUV","59 cty / 54 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619292-413","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A69NU026361/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619428-448","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A62MU018307/2021-hyundai-nexo/","2021 Hyundai NEXO","$63,570","SUV","59 cty / 54 hwy","",""
"1656619336-426","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A6XNU026336/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619325-423","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A6XNU025543/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619390-437","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A69NU025520/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619340-427","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA8NA004619/2022-toyota-mirai/","2022 Toyota Mirai","$52,360","Sedan","76 cty / 71 hwy","",""
"1656619421-446","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA8NA005964/2022-toyota-mirai/","2022 Toyota Mirai","$52,825","Sedan","76 cty / 71 hwy","",""
"1656619404-441","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A68NU023013/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,130","SUV","59 cty / 54 hwy","",""
"1656619277-408","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A62NU025517/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,130","SUV","59 cty / 54 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619283-410","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A64NU021956/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619263-404","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A66NU026334/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619425-447","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA3NA005158/2022-toyota-mirai/","2022 Toyota Mirai","$52,360","Sedan","76 cty / 71 hwy","",""
"1656619309-418","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA8NA005429/2022-toyota-mirai/","2022 Toyota Mirai","$72,790","Sedan","67 cty / 64 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619303-416","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A64NU026364/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619397-439","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA9NA005939/2022-toyota-mirai/","2022 Toyota Mirai","$52,825","Sedan","76 cty / 71 hwy","",""
"1656619329-424","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A65NU025530/2022-hyundai-nexo/","2022 Hyundai NEXO","$64,130","SUV","59 cty / 54 hwy","",""
"1656619387-436","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA3NA005872/2022-toyota-mirai/","2022 Toyota Mirai","$72,915","Sedan","67 cty / 64 hwy","",""
"1656619410-443","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/JTDAAAAA3NA006021/2022-toyota-mirai/","2022 Toyota Mirai","$52,825","Sedan","76 cty / 71 hwy","",""
"1656619271-406","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A60NU026345/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619379-434","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A65NU025613/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","",""
"1656619266-405","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A64NU026350/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,680","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619332-425","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A65NU026356/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","",""
"1656619280-409","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J74A6XNU026367/2022-hyundai-nexo/","2022 Hyundai NEXO","$60,730","SUV","65 cty / 58 hwy","2","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/?page=2"
"1656619362-431","https://www.truecar.com/new-cars-for-sale/listings/year-2021-2023/fuel-hydrogen/","","https://www.truecar.com/new-cars-for-sale/listing/KM8J84A65NU026354/2022-hyundai-nexo/","2022 Hyundai NEXO","$62,885","SUV","59 cty / 54 hwy","",""
